-,-,-
0, -14, 992
7, -21, 982
3, -17, 989
3, -17, 989
2, -16, 989
3, -15, 988
3, -17, 988
3, -17, 988
3, -17, 988
4, -19, 988
4, -19, 988
24, -15, 991
98, -14, 988
125, -20, 984
195, -19, 991
195, -19, 991
145, -11, 980
131, 4, 1003
64, -30, 986
-7, -66, 987
-7, -66, 987
-69, -36, 982
-110, 16, 1008
-97, 2, 976
-165, 12, 985
-165, 12, 985
-181, -31, 987
-114, -56, 992
-10, -12, 988
-272, -7, 986
-231, -54, 985
-169, -40, 996
-98, -12, 989
-98, -12, 989
42, -31, 999
60, -45, 973
104, -46, 984
124, -22, 988
124, -22, 988
154, 0, 1000
127, 16, 986
93, 8, 981
93, 8, 981
65, -1, 991
58, -8, 988
11, -18, 986
-,-,-
5, -16, 967
5, -16, 967
1, -15, 992
3, -13, 987
3, -13, 987
2, -14, 991
4, -14, 987
2, -16, 989
2, -16, 989
3, -15, 989
3, -16, 989
3, -16, 989
4, -13, 989
9, -15, 989
99, -14, 989
99, -14, 989
111, -13, 988
140, -18, 989
126, -19, 989
133, -6, 992
133, -6, 992
137, -5, 988
108, -12, 980
16, -2, 1005
-30, -14, 973
-30, -14, 973
-93, -10, 988
-137, -22, 983
-162, -15, 993
-150, -25, 990
-173, -42, 989
-84, -27, 986
-11, -19, 985
-11, -19, 985
-248, -40, 991
-235, -29, 969
-138, -21, 1007
-89, -21, 973
-37, -35, 992
31, -42, 973
31, -42, 973
43, -59, 985
96, -37, 995
86, -9, 981
86, -9, 981
177, 25, 981
154, 14, 987
96, -4, 983
96, -4, 983
-,-,-
1, -22, 986
2, -21, 982
1, -23, 986
2, -21, 987
2, -21, 987
2, -23, 985
4, -21, 987
37, -15, 987
37, -15, 987
63, -16, 985
64, -13, 986
119, -22, 991
119, -22, 991
113, -10, 985
136, -18, 980
159, -5, 993
126, 10, 1001
109, -31, 970
109, -31, 970
35, -33, 973
-57, -67, 1006
-160, -55, 978
-175, 16, 988
-115, -2, 983
-115, -2, 983
-147, -28, 989
-136, -48, 986
-135, -54, 988
-8, -24, 988
-236, -44, 988
-176, -11, 988
-162, 12, 988
-162, 12, 988
-122, -58, 976
-85, -68, 1006
-38, -50, 983
4, 0, 973
4, 0, 973
-1, -49, 988
107, -53, 983
125, -37, 1020
88, -17, 967
88, -17, 967
119, 10, 986
92, 13, 990
127, -1, 990
127, -1, 990
-,-,-
0, -20, 991
3, -28, 960
1, -23, 986
1, -23, 986
2, -24, 988
3, -23, 988
17, -23, 987
17, -23, 987
136, -7, 991
153, -17, 979
171, -32, 988
186, -49, 1002
186, -49, 1002
268, -9, 971
214, 0, 983
64, -30, 991
-34, -7, 972
-34, -7, 972
-197, 14, 999
-233, 8, 972
-262, -45, 983
-206, -48, 994
-189, -74, 989
-189, -74, 989
-71, -62, 986
-148, -30, 981
-268, -54, 997
-140, -24, 990
-120, -36, 979
-83, -31, 999
-59, -38, 977
-59, -38, 977
-22, -43, 961
-8, -63, 1017
52, -32, 989
120, 2, 990
120, 2, 990
116, -13, 973
145, -15, 984
130, -16, 989
108, -19, 983
108, -19, 983
92, 5, 992
69, -7, 983
-,-,-
3, -22, 975
1, -17, 983
1, -17, 983
2, -19, 988
2, -17, 990
3, -18, 989
3, -18, 989
4, -19, 989
4, -18, 990
4, -18, 990
53, -20, 990
182, -32, 996
204, -49, 984
296, -39, 1006
296, -39, 1006
230, -31, 968
176, -10, 975
14, 31, 1027
-73, 27, 961
-196, 24, 993
-196, 24, 993
-233, 19, 979
-216, -15, 997
-175, -54, 977
-179, -75, 994
-53, -44, 986
-194, 0, 992
-194, 0, 992
-240, -17, 989
-168, 6, 1003
-165, -24, 974
-103, -49, 993
-47, -65, 975
-18, -66, 1021
-18, -66, 1021
41, -31, 965
137, -35, 1005
110, 4, 984
136, 7, 980
136, 7, 980
114, 6, 993
152, 8, 987
136, -2, 990
136, -2, 990
130, -14, 993
49, -15, 991
-,-,-
3, -14, 968
3, -14, 968
3, -19, 989
9, -17, 991
23, -13, 991
23, -13, 991
98, -10, 989
142, -15, 989
135, -31, 983
130, -26, 989
130, -26, 989
138, 4, 1007
126, 0, 978
129, 13, 1002
52, 0, 976
52, 0, 976
-50, -24, 998
-111, -38, 996
-154, -19, 984
-175, 0, 991
-175, 0, 991
-126, -18, 986
-136, -42, 985
-131, -51, 994
-50, -39, 991
-206, -22, 987
-277, -6, 986
-277, -6, 986
-169, 22, 1004
-188, -14, 993
-100, -40, 1001
-56, -30, 964
2, -14, 983
78, -52, 1014
78, -52, 1014
126, -47, 986
193, -25, 976
154, -27, 992
156, -11, 983
139, -5, 995
139, -5, 995
113, 4, 989
-,-,-
12, -29, 947
2, -5, 1021
92, -26, 991
92, -26, 991
107, -20, 992
113, -13, 991
131, -10, 986
146, -33, 981
146, -33, 1001
163, -45, 1001
129, -38, 999
221, -52, 980
137, -4, 899
25, -2, 951
25, -2, 951
-94, -2, 988
-180, 16, 953
-253, 48, 1012
-283, 22, 997
-271, -36, 985
-271, -36, 985
-152, -93, 996
-200, 31, 990
-343, -23, 994
-215, -30, 998
-161, -36, 993
-99, -48, 967
37, -47, 995
37, -47, 995
65, -29, 988
93, -20, 981
135, -20, 994
135, -20, 994
138, 5, 997
154, -15, 998
-,-,-
4, -19, 979
4, -19, 979
2, -15, 994
3, -17, 991
3, -17, 990
3, -17, 990
3, -18, 990
12, -18, 991
12, -18, 991
103, -8, 991
155, -15, 994
156, -27, 982
259, -8, 981
345, -10, 987
345, -10, 987
248, -35, 1011
89, -49, 947
-77, -59, 987
-245, 25, 973
-251, 28, 994
-251, 28, 994
-265, 15, 994
-239, -16, 993
-203, -60, 988
-53, -44, 990
-245, 14, 993
-245, 14, 993
-247, -47, 982
-189, -6, 986
-149, -45, 992
-,-,-
9, -13, 981
9, -13, 981
38, -18, 990
100, -16, 992
117, -15, 994
127, -25, 987
127, -25, 987
204, -11, 990
178, -16, 974
164, -17, 993
108, -40, 1009
4, -31, 955
4, -31, 955
-98, -4, 1008
-142, 11, 970
-216, 16, 1015
-177, 4, 992
-194, 4, 985
-194, -23, 985
-175, -50, 997
-31, -21, 990
-354, -31, 1001
-169, -21, 971
-171, -32, 983
-136, -40, 1004
-93, -2, 1001
-93, -2, 1001
-82, 21, 976
39, 15, 999
169, 2, 981
169, 2, 981
202, -28, 978
229, -49, 997
179, -41, 990
142, -2, 993
142, -2, 993
93, -7, 989
40, -7, 991
5, -15, 990
5, -15, 990
-,-,-
75, -23, 972
75, -23, 972
92, -24, 990
148, -17, 990
176, -26, 982
167, 2, 1004
151, -14, 974
151, -14, 974
